id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_cp,beta_tcc,beta_TNSR,beta_TEM,beta_RH,se_Intercept,se_cp,se_tcc,se_TNSR,se_TEM,se_850RH,t_Intercept,t_cp,t_tcc,t_TNSR,t_TEM,t_RH,p_Intercept,p_cp,p_tcc,p_TNSR,p_TEM,p_RH,sumW_Intercept,sumW_cp,sumW_tcc,sumW_TNSR,sumW_TEM,sumW_RH
514,1189840.468,3147367.899,0.746597489,0.406839213,0.818929506,-0.072332017,0.559205072,0.628970584,0.001805046,-0.078826765,0.088745938,0.026664223,0.185466191,0.063128857,0.036970136,0.114794287,0.06425149,0.060618747,0.161033693,9.963281606,0.048824448,-0.686678464,1.381227707,0.439867602,1.151722893,2.41E-22,0.961069096,0.49244699,0.167522209,0.660129497,0.24971443,16.51903404,16.51903404,16.51903404,16.51903404,59.42258128,16.51903404
515,1218140.468,3147367.899,0.737242716,0.380193182,0.808856416,-0.0716137,0.485184844,0.62440153,-0.004023784,-0.103320763,0.096102875,0.025907402,-0.043387921,0.063814498,0.03634674,0.110370696,0.065562291,0.06058125,0.18727713,9.784634374,-0.11070551,-0.936124953,1.465825462,0.427647196,-0.231677625,1.22E-21,0.911872428,0.349438307,0.143014983,0.669001474,0.816836531,16.61750289,15.16975566,16.61750289,16.61750289,57.11244332,15.16975566
516,1246440.468,3147367.899,0.641941839,0.034541626,0.703077525,-0.061135686,0.4572853,0.608925356,-0.003966555,-0.114717928,0.08746038,0.025168438,-0.096731133,0.063601328,0.035228951,0.106247391,0.065630965,0.060548152,0.171420246,9.574098195,-0.112593613,-1.079724654,1.332608469,0.415676401,-0.564292347,8.01E-21,0.91037569,0.280529119,0.182968507,0.677737351,0.572683654,16.05920287,16.05920287,16.63461838,16.05920287,52.77781619,16.05920287
517,397440.4683,3119067.899,-0.780893272,-0.356030085,-0.813469529,0.032576257,0.857749278,-0.866289429,-0.096215598,-0.367247906,-0.348036406,-0.480085855,-0.207283049,0.056014244,0.110555618,0.113965793,0.123703232,0.04505761,0.129528804,-15.46552028,-0.870291348,-3.22243979,-2.813478675,-10.65493385,-1.600285366,1.82E-48,0.384353243,0.00131274,0.004998372,3.65E-25,0.109855955,15.62240294,15.62240294,16.21006223,15.62240294,56.55252457,15.62240294
518,425740.4683,3119067.899,-1.023809936,-0.677230369,-0.862768876,-0.16104106,0.836504697,-0.866956395,-0.101875665,-0.369314354,-0.348476192,-0.477282889,-0.220065084,0.055202121,0.123366935,0.11451036,0.123680791,0.04477998,0.131427323,-15.70512837,-0.825793915,-3.22516106,-2.817544994,-10.65839879,-1.674424149,9.01E-50,0.409120969,0.001300455,0.004936023,3.53E-25,0.094364717,16.58500289,15.14197787,16.58500289,16.58500289,62.7727089,15.14197787
519,454040.4683,3119067.899,-1.038029903,-0.881452179,-0.939614586,-0.098415317,0.788534302,-0.865968473,-0.071792996,-0.369334974,-0.35014045,-0.474608034,-0.218965917,0.055056241,0.127632771,0.114994806,0.123647185,0.044477694,0.13177726,-15.72879768,-0.562496572,-3.211753533,-2.831770484,-10.67069791,-1.66163659,6.68E-50,0.573905728,0.001362025,0.004723405,3.13E-25,0.096903863,16.84775375,16.84775375,16.84775375,16.84775375,63.82381589,16.84775375
520,482340.4683,3119067.899,-0.906183966,-0.574502829,-0.844097694,-0.062086272,0.721341843,-0.866455974,-0.080300277,-0.366715001,-0.355577716,-0.468981578,-0.225789648,0.056250338,0.146516031,0.115390159,0.123670612,0.044072018,0.134090585,-15.4035691,-0.548064786,-3.178043998,-2.875199774,-10.64125489,-1.683859071,3.95E-48,0.583771598,0.001528916,0.004124665,4.16E-25,0.092525747,16.74609698,13.61538732,16.74609698,16.74609698,67.39141648,13.61538732
521,510640.4683,3119067.899,-0.508905712,-0.349200118,-0.772737106,0.263831395,0.639952347,-0.874026845,-0.000790374,-0.362535458,-0.362216574,-0.461188605,-0.201870601,0.059017341,0.147224192,0.115025382,0.124204134,0.043622533,0.136168896,-14.80966163,-0.005368508,-3.151786598,-2.916300466,-10.57225649,-1.482501564,5.94E-45,0.995717658,0.001671767,0.003622429,8.07E-25,0.138526742,16.78125329,13.61538732,16.78125329,16.78125329,63.7740154,13.61538732
522,538940.4683,3119067.899,-0.65754205,-0.464719843,-0.812408477,0.154866427,0.658467217,-0.885517669,0.100207637,-0.360277429,-0.363577213,-0.44825265,-0.172526964,0.06210102,0.125281691,0.113456162,0.124772476,0.042974389,0.137529568,-14.25930962,0.799858593,-3.175476957,-2.913921601,-10.43069278,-1.25447179,4.44E-42,0.423985582,0.001542368,0.003649905,3.11E-24,0.209968164,16.78125329,13.61538732,16.78125329,16.78125329,63.35303814,13.61538732
523,567240.4683,3119067.899,-1.072618553,-0.814994887,-0.966179148,-0.106439405,0.70035596,-0.901931366,0.07919751,-0.365804436,-0.350869719,-0.42899554,-0.011216146,0.063198869,0.117795975,0.110237128,0.120898603,0.042248396,0.122316675,-14.27132122,0.672327811,-3.318341511,-2.902181739,-10.15412603,-0.0916976,3.85E-42,0.501532703,0.000938695,0.003788303,4.16E-23,0.926956949,16.78125329,13.61538732,16.78125329,16.78125329,59.27676482,13.61538732
524,595540.4683,3119067.899,-1.269390198,-0.790767625,-1.256998174,-0.012392023,0.700677416,-0.91144841,0.074183604,-0.376972829,-0.317026904,-0.402787496,0.222670329,0.060845677,0.11479163,0.100383886,0.105277516,0.041817989,0.122567089,-14.97967408,0.646245755,-3.755312183,-3.011344824,-9.631919338,1.816722018,7.45E-46,0.518270747,0.000183271,0.0026673,4.79E-21,0.069563505,16.78125329,13.61538732,16.78125329,16.78125329,53.74409313,13.61538732
525,623840.4683,3119067.899,-1.538570183,-0.921236584,-1.470260774,-0.068309409,0.686739314,-0.899576034,0.093478816,-0.385217199,-0.241973888,-0.378087606,0.305946474,0.055888733,0.111425795,0.084621243,0.095073682,0.042092087,0.125104772,-16.09583866,0.838933357,-4.552251746,-2.545119566,-8.982391481,2.445522026,6.30E-52,0.401710255,5.97E-06,0.011075565,1.32E-18,0.014638434,16.78125329,13.61538732,16.78125329,16.78125329,53.97227372,13.61538732
